City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
110,Khorixas,-20.37,14.97,71.82,22,37,3.71,NA,scattered clouds
111,Dolores,-36.31,-57.68,56.07,55,23,7.07,AR,few clouds
112,Makakilo City,21.35,-158.09,84.2,62,90,8.05,US,overcast clouds
113,Moerai,-22.43,-151.33,76.64,85,94,13.58,PF,light rain
114,Wendo,6.6,38.42,57.02,90,80,2.89,ET,broken clouds
115,Iqaluit,63.75,-68.51,12.2,85,75,4.7,CA,light snow
116,Yellowknife,62.46,-114.35,16.0,85,90,14.99,CA,light snow
117,Aripuana,-9.17,-60.63,72.82,98,100,1.21,BR,overcast clouds
118,Saint-Augustin,51.23,-58.65,36.66,92,89,23.58,CA,overcast clouds
119,Tuatapere,-46.13,167.68,53.01,72,36,13.0,NZ,scattered clouds
120,Luba,3.46,8.55,77.0,100,20,2.77,GQ,few clouds
121,Narsaq,60.92,-46.05,21.2,73,0,4.7,GL,clear sky
122,Beringovskiy,63.05,179.32,24.39,95,100,3.89,RU,overcast clouds
123,Westport,41.14,-73.36,54.0,97,100,4.43,US,moderate rain
124,Sfantu Gheorghe,45.87,25.78,35.01,82,1,2.1,RO,clear sky
125,Coihaique,-45.58,-72.07,73.4,23,0,4.7,CL,clear sky
126,Wilmington,34.23,-77.94,68.0,77,1,9.17,US,clear sky
127,Severo-Kurilsk,50.68,156.12,42.73,71,1,8.97,RU,clear sky
128,Ballina,-28.87,153.57,73.99,64,40,17.22,AU,scattered clouds
129,Rio Cuarto,-33.13,-64.35,75.2,27,0,23.04,AR,clear sky
130,Yueyang,29.33,113.09,57.94,76,93,5.84,CN,overcast clouds
131,Ola,59.58,151.28,29.82,93,100,9.35,RU,overcast clouds
132,Puerto Del Rosario,28.5,-13.86,69.8,88,20,19.46,ES,few clouds
133,Haines Junction,60.75,-137.51,14.0,56,100,2.24,CA,overcast clouds
134,Port Blair,11.67,92.75,79.63,79,49,3.65,IN,scattered clouds
135,Imbituba,-28.24,-48.67,66.2,63,20,4.7,BR,few clouds
136,Aloleng,16.13,119.78,80.49,74,93,23.91,PH,overcast clouds
137,Cap Malheureux,-19.98,57.61,68.0,68,56,1.99,MU,broken clouds
138,Tolaga Bay,-38.37,178.3,65.64,61,100,7.58,NZ,overcast clouds
139,Nsoko,-27.03,31.95,63.05,87,99,3.13,SZ,light rain
140,Arlit,18.74,7.39,74.68,24,83,11.92,NE,broken clouds
141,Mar Del Plata,-38.0,-57.56,61.0,67,0,8.05,AR,clear sky
142,Yulara,-25.24,130.99,78.8,15,26,9.17,AU,scattered clouds
143,Brae,60.4,-1.35,50.0,81,80,29.97,GB,moderate rain
144,San Jose,37.34,-121.89,84.0,27,75,5.82,US,haze
145,Labuhan,-6.88,112.21,78.37,82,82,5.79,ID,moderate rain
146,Barrow,71.29,-156.79,28.4,86,75,24.16,US,mist
147,Longyearbyen,78.22,15.64,33.8,69,0,31.09,SJ,clear sky
148,Burnie,-41.07,145.92,59.0,70,99,5.99,AU,overcast clouds
149,Pangnirtung,66.15,-65.71,17.6,72,90,4.7,CA,light shower snow
150,Puerto Ayora,-0.74,-90.35,77.0,73,40,20.8,EC,scattered clouds
151,Tuktoyaktuk,69.45,-133.04,12.2,92,90,17.22,CA,light snow
152,Bairiki,1.33,172.98,86.0,70,40,9.17,KI,scattered clouds
153,Deputatskiy,69.3,139.9,-15.83,88,56,6.51,RU,broken clouds
154,Alofi,-19.06,-169.92,78.8,83,75,13.87,NU,broken clouds
155,Sakata,38.92,139.85,53.6,87,75,5.82,JP,light intensity shower rain
156,Granadilla De Abona,28.12,-16.58,77.0,29,0,26.4,ES,clear sky
157,Ponta Delgada,37.73,-25.67,62.6,82,75,23.04,PT,light intensity shower rain
158,Niimi,34.98,133.47,60.8,100,75,3.36,JP,mist
159,Isangel,-19.55,169.27,80.6,78,75,9.17,VU,broken clouds
160,Pevek,69.7,170.31,15.64,93,100,10.25,RU,overcast clouds
161,Prabumulih,-3.45,104.25,73.76,95,100,1.52,ID,moderate rain
162,Coahuayana,18.73,-103.68,85.89,63,4,3.58,MX,clear sky
163,Muncar,-8.43,114.33,77.13,86,88,0.81,ID,overcast clouds
164,Frunze,48.67,38.75,53.01,85,91,7.14,UA,overcast clouds
165,San Cristobal,7.77,-72.22,82.4,74,40,6.93,VE,scattered clouds
166,Pemangkat,1.17,108.97,79.47,81,100,3.49,ID,overcast clouds
167,Saint George,37.1,-113.58,81.0,10,1,3.71,US,clear sky
168,Jalu,29.03,21.55,65.35,52,0,6.2,LY,clear sky
169,Vila Velha,-20.33,-40.29,73.4,69,75,16.11,BR,broken clouds
170,Adrar,20.5,-10.07,79.9,17,100,9.46,MR,overcast clouds
171,Kirakira,-10.45,161.92,85.87,65,83,8.86,SB,light rain
172,Derzhavinsk,51.1,66.32,35.92,88,92,9.06,KZ,overcast clouds
173,Xining,36.62,101.77,29.68,82,13,2.3,CN,few clouds
174,Galveston,29.37,-94.97,75.2,47,1,12.75,US,clear sky
175,Shahreza,32.03,51.88,42.87,61,0,2.06,IR,clear sky
176,Minot,48.23,-101.3,53.6,25,1,11.41,US,clear sky
177,Turukhansk,65.82,87.98,20.8,98,100,8.3,RU,light snow
178,Aklavik,68.22,-135.01,10.4,85,99,2.24,CA,overcast clouds
179,Fortuna,40.6,-124.16,66.99,59,1,10.29,US,clear sky
180,Lompoc,34.64,-120.46,79.0,44,1,10.29,US,clear sky
181,Saint Anthony,45.02,-93.22,37.4,29,1,10.29,US,clear sky
182,Churapcha,62.0,132.43,-18.65,88,9,2.3,RU,clear sky
183,Tessalit,20.2,1.01,75.52,21,43,12.5,ML,scattered clouds
184,Chengalpattu,12.7,79.98,78.8,100,20,4.7,IN,mist
185,Verkh-Suetka,53.3,80.05,36.52,83,98,8.84,RU,overcast clouds
186,Verdun,49.25,5.33,64.0,84,100,7.0,FR,overcast clouds
187,Saint-Philippe,-21.36,55.77,69.8,60,90,5.82,RE,overcast clouds
188,Sao Felix Do Xingu,-6.64,-51.99,76.32,82,92,0.31,BR,light rain
189,Constitucion,-35.33,-72.42,54.3,85,61,6.38,CL,broken clouds
190,Causapscal,48.35,-67.23,42.01,12,100,11.5,CA,overcast clouds
191,Am Timan,11.03,20.28,82.83,42,93,4.14,TD,overcast clouds
192,Port Antonio,18.18,-76.46,79.0,94,75,24.16,JM,shower rain
193,Itarema,-2.92,-39.92,79.92,80,1,15.77,BR,clear sky
194,Baykit,61.67,96.37,21.74,95,100,5.1,RU,overcast clouds
195,Codrington,-38.27,141.97,64.92,72,69,7.05,AU,broken clouds
196,Thunder Bay,48.4,-89.32,28.4,39,20,14.99,CA,few clouds
197,Sept-Iles,50.2,-66.38,37.4,69,100,5.82,CA,overcast clouds
198,Krasnaya Gorbatka,55.87,41.76,39.24,92,100,7.4,RU,light rain
199,Tiznit,29.58,-9.5,70.16,27,0,3.2,MA,clear sky
200,Vostok,46.49,135.88,29.16,99,71,3.47,RU,broken clouds
201,Mollendo,-17.02,-72.01,63.41,80,44,5.14,PE,scattered clouds
202,Asyut,27.18,31.18,71.6,68,0,11.41,EG,clear sky
203,Norman Wells,65.28,-126.83,6.8,71,20,12.75,CA,few clouds
204,Marawi,8.0,124.29,75.99,88,100,4.0,PH,light rain
205,Kysyl-Syr,63.9,122.76,-2.52,91,43,6.53,RU,scattered clouds
206,Saldanha,-33.01,17.94,66.2,59,0,4.7,ZA,clear sky
207,Caravelas,-17.71,-39.25,70.68,84,100,9.4,BR,overcast clouds
208,Sisimiut,66.94,-53.67,28.63,93,100,9.89,GL,overcast clouds
209,Umm Kaddadah,13.6,26.69,81.72,23,2,20.58,SD,clear sky
210,Sindor,62.86,51.89,28.76,93,85,6.82,RU,overcast clouds
211,Ust-Nera,64.57,143.2,-15.32,79,50,5.12,RU,scattered clouds
212,Alyangula,-13.85,136.42,80.6,69,7,1.12,AU,clear sky
213,Esperance,-33.87,121.9,64.4,100,40,13.87,AU,scattered clouds
214,Erzin,36.96,36.2,70.0,70,4,2.26,TR,light rain
215,Zhigansk,66.77,123.37,-0.63,92,88,18.9,RU,overcast clouds
216,Hithadhoo,-0.6,73.08,83.34,74,100,9.42,MV,overcast clouds
217,Te Anau,-45.42,167.72,55.08,52,100,1.32,NZ,overcast clouds
218,Iskateley,67.68,53.15,28.69,98,99,12.95,RU,overcast clouds
219,Severo-Yeniseyskiy,60.37,93.04,31.12,99,100,12.08,RU,overcast clouds
220,Dargaville,-35.93,173.88,72.25,63,100,2.95,NZ,overcast clouds
221,Chokurdakh,70.63,147.92,0.21,94,100,10.96,RU,light snow
222,Lircay,-12.99,-74.72,55.4,50,91,0.58,PE,overcast clouds
223,Puerto Leguizamo,-0.19,-74.78,74.89,94,94,0.22,CO,light rain
224,Eucaliptus,-17.58,-67.52,56.17,41,31,13.27,BO,scattered clouds
225,Kapaa,22.08,-159.32,82.4,74,20,13.87,US,few clouds
226,Lisala,2.15,21.52,70.66,97,100,1.92,CD,overcast clouds
227,Janakpur,26.72,85.91,71.33,77,34,1.7,NP,scattered clouds
228,Verkhnevilyuysk,63.45,120.32,0.77,92,14,7.38,RU,few clouds
229,Strezhevoy,60.73,77.59,32.0,98,90,6.71,RU,overcast clouds
230,Waingapu,-9.66,120.26,81.25,72,76,7.29,ID,broken clouds
231,Luderitz,-26.65,15.16,65.8,51,85,12.86,NA,overcast clouds
232,Praia Da Vitoria,38.73,-27.07,64.0,93,75,15.9,PT,broken clouds
233,Ocos,14.51,-92.19,87.8,70,40,6.93,GT,shower rain
234,San Joaquin,37.93,-121.3,80.6,22,1,1.57,US,clear sky
235,Znamenskoye,57.13,73.83,32.49,94,100,7.34,RU,overcast clouds
236,Umm Lajj,25.02,37.27,77.83,65,3,3.85,SA,clear sky
237,Ketchikan,55.34,-131.65,53.6,100,90,27.51,US,heavy intensity rain
238,Rio Bueno,-40.32,-72.97,73.4,60,0,11.41,CL,clear sky
239,Katsuura,35.13,140.3,60.8,77,75,5.82,JP,broken clouds
240,Adwa,14.16,38.9,59.86,54,0,7.52,ET,clear sky
241,Broome,42.25,-75.83,42.01,93,90,6.93,US,overcast clouds
242,Hovd,48.01,91.64,24.98,89,4,1.3,MN,clear sky
243,Comodoro Rivadavia,-45.87,-67.5,77.0,44,0,2.24,AR,clear sky
244,Ashland,40.82,-82.27,34.0,59,75,16.11,US,broken clouds
245,Yar-Sale,66.83,70.83,28.71,98,97,13.78,RU,overcast clouds
246,College,64.86,-147.8,3.99,70,75,1.34,US,broken clouds
247,Havelock,34.88,-76.9,66.99,88,90,12.75,US,overcast clouds
248,Honningsvag,70.98,25.97,41.0,80,20,21.92,NO,few clouds
249,Fare,-16.7,-151.02,80.83,78,12,22.26,PF,few clouds
250,Dinhata,26.13,89.47,72.75,85,16,4.68,IN,few clouds
251,Kavieng,-2.57,150.8,85.69,67,1,5.75,PG,clear sky
252,Virginia Beach,36.85,-75.98,61.0,82,40,10.29,US,scattered clouds
253,Novobiryusinskiy,56.96,97.71,29.34,98,100,8.19,RU,overcast clouds
254,Oyama,36.3,139.8,57.2,76,40,1.7,JP,scattered clouds
255,Pitimbu,-7.47,-34.81,78.8,83,20,10.29,BR,few clouds
256,Sapernoye,60.72,29.95,32.0,94,1,6.87,RU,clear sky
257,Zhuanghe,39.7,122.99,41.68,55,15,2.59,CN,few clouds
258,Hamilton,39.18,-84.53,41.0,51,1,3.0,US,clear sky
259,Rafai,4.95,23.92,68.49,92,94,2.15,CF,overcast clouds
260,Korla,41.76,86.15,36.0,57,12,11.01,CN,few clouds
261,Hofn,64.25,-15.21,36.75,75,0,20.56,IS,clear sky
262,Udachnyy,66.42,112.4,5.0,84,90,6.71,RU,light snow
263,Nome,64.5,-165.41,19.99,73,1,4.16,US,clear sky
264,Dhidhdhoo,6.88,73.1,82.2,69,60,4.76,MV,broken clouds
265,Richards Bay,-28.78,32.04,63.54,95,100,4.61,ZA,heavy intensity rain
266,Costinesti,43.95,28.63,48.2,81,75,3.36,RO,broken clouds
267,Whittlesea,-32.18,26.82,53.56,85,65,3.42,ZA,broken clouds
268,Atocha,-20.93,-66.23,56.05,25,7,12.62,BO,clear sky
269,Villarrica,-25.75,-56.43,71.74,48,1,6.85,PY,clear sky
270,Henties Bay,-22.12,14.28,55.0,91,31,5.3,NA,scattered clouds
271,Hailar,49.2,119.7,17.91,84,100,14.14,CN,snow
272,Mehamn,71.04,27.85,41.0,86,0,25.28,NO,clear sky
273,Chikwawa,-16.03,34.8,75.0,73,38,4.92,MW,scattered clouds
274,Haverfordwest,51.8,-4.97,63.0,100,100,43.62,GB,overcast clouds
275,Pombas,17.15,-25.02,77.0,73,75,17.22,CV,broken clouds
276,Nemuro,43.32,145.57,56.75,87,100,17.65,JP,overcast clouds
277,Vila Franca Do Campo,37.72,-25.43,62.6,82,75,23.04,PT,light intensity shower rain
278,Touros,-5.2,-35.46,80.6,78,40,12.75,BR,scattered clouds
279,Sola,-13.88,167.55,84.2,83,75,5.82,VU,broken clouds
280,Vardo,70.37,31.11,41.0,93,75,13.87,NO,broken clouds
281,Nantucket,41.28,-70.1,57.2,93,90,12.75,US,overcast clouds
282,Leh,34.17,77.58,27.73,70,13,2.98,IN,few clouds
283,Cortez,37.35,-108.59,69.8,15,1,4.7,US,clear sky
284,Garden City,42.33,-83.33,39.2,47,75,21.92,US,broken clouds
285,Saint Pete Beach,27.73,-82.74,80.6,83,1,5.82,US,clear sky
286,Warrington,53.39,-2.58,62.01,87,40,14.99,GB,shower rain
287,Murygino,58.74,49.46,27.97,96,0,2.77,RU,clear sky
288,Nicolas Bravo,18.45,-88.92,87.8,66,75,11.41,MX,broken clouds
289,Yushu,44.8,126.53,29.64,83,9,11.48,CN,clear sky
290,Yeppoon,-23.13,150.73,78.8,74,40,5.82,AU,scattered clouds
291,Zaria,11.11,7.72,73.42,31,35,4.94,NG,scattered clouds
292,Anadyr,64.75,177.48,15.8,85,75,4.16,RU,light snow
293,Saint-Joseph,-21.37,55.62,69.8,60,90,5.82,RE,overcast clouds
294,Ixtapa,20.7,-105.2,84.99,81,4,7.0,MX,clear sky
295,Balad,34.02,44.15,69.64,24,6,11.45,IQ,clear sky
296,Tateyama,34.98,139.87,60.8,77,75,5.82,JP,broken clouds
297,Sur,22.57,59.53,70.23,33,0,4.76,OM,clear sky
298,Shakawe,-18.37,21.85,76.51,24,72,2.28,BW,broken clouds
299,Taketa,32.97,131.38,57.99,89,100,0.92,JP,light rain
300,Markala,13.7,-6.07,78.91,18,13,4.72,ML,few clouds
301,Presidencia Roque Saenz Pena,-26.79,-60.44,68.67,53,0,6.4,AR,clear sky
302,Inhambane,-23.86,35.38,71.04,78,17,7.43,MZ,few clouds
303,Seljord,59.49,8.63,52.0,78,100,4.88,NO,moderate rain
304,Buin,-33.73,-70.75,73.4,40,0,8.05,CL,clear sky
305,Torbay,47.67,-52.73,37.99,80,20,10.29,CA,few clouds
306,Port Lincoln,-34.73,135.87,71.1,47,39,13.91,AU,scattered clouds
307,Mahibadhoo,3.78,72.97,81.88,73,73,5.77,MV,broken clouds
308,Warwick,41.7,-71.42,51.01,100,90,2.06,US,mist
309,Axim,4.87,-2.24,78.22,90,100,7.99,GH,overcast clouds
310,Warmbad,-28.45,18.73,69.08,22,0,7.47,NA,clear sky
311,Ancud,-41.87,-73.82,60.01,72,57,6.93,CL,broken clouds
312,Karatau,43.17,70.47,37.17,75,86,1.07,KZ,overcast clouds
313,Olafsvik,64.89,-23.71,36.79,81,52,17.0,IS,light rain
314,Herne Bay,51.37,1.13,63.0,92,100,7.0,GB,overcast clouds
315,Kendari,-3.94,122.5,78.21,84,100,2.39,ID,overcast clouds
316,Lensk,60.73,114.93,-1.34,89,0,4.36,RU,clear sky
317,Haimen,23.19,116.61,66.2,88,100,7.36,CN,overcast clouds
318,Meulaboh,4.14,96.13,75.92,88,100,1.66,ID,overcast clouds
319,Coquimbo,-29.95,-71.34,55.4,82,75,12.75,CL,broken clouds
320,Toora-Khem,52.47,96.11,19.65,95,2,1.99,RU,clear sky
321,Mayumba,-3.43,10.66,75.0,92,100,3.36,GA,light rain
322,Lata,40.16,-8.33,66.0,92,97,0.69,PT,overcast clouds
323,Patuli,23.55,88.25,76.05,87,100,3.13,IN,overcast clouds
324,Skibbereen,51.55,-9.27,57.2,100,75,26.4,IE,light intensity drizzle
325,Bobon,12.52,124.56,78.28,86,100,4.07,PH,light rain
326,Lethem,3.38,-59.8,84.16,60,96,1.66,GY,overcast clouds
327,Taoudenni,22.68,-3.98,80.49,17,100,17.38,ML,overcast clouds
328,San Vicente,-26.62,-54.13,63.59,58,46,3.6,AR,scattered clouds
329,Fukue,32.69,128.84,66.02,75,100,12.55,JP,overcast clouds
330,Tucurui,-3.77,-49.67,84.11,54,80,2.42,BR,light rain
331,Izmalkovo,52.69,37.96,44.58,95,76,10.56,RU,broken clouds
332,Castro,-24.79,-50.01,52.79,91,22,8.28,BR,few clouds
333,Los Corrales De Buelna,43.26,-4.07,66.0,99,99,1.01,ES,overcast clouds
334,Hoopstad,-27.83,25.91,54.86,91,0,4.83,ZA,clear sky
335,Shache,38.42,77.24,33.66,85,0,3.24,CN,clear sky
336,Nabire,-3.37,135.48,80.37,83,99,2.93,ID,overcast clouds
337,Saint-Leu,-21.15,55.28,69.8,60,90,5.82,RE,overcast clouds
338,Tuy Hoa,13.08,109.3,74.37,86,92,10.31,VN,light rain
339,Port Moresby,-9.44,147.18,81.3,79,67,1.72,PG,broken clouds
340,At-Bashi,41.17,75.81,28.74,63,29,1.34,KG,scattered clouds
341,Eten,-6.91,-79.86,66.2,68,0,21.92,PE,clear sky
342,Harer,9.31,42.13,53.55,70,0,1.63,ET,clear sky
343,Morros,-9.45,-46.3,74.71,86,97,1.97,BR,light rain
344,Belyy Yar,53.6,91.39,21.2,100,53,2.24,RU,fog
345,Punta Umbria,37.18,-6.97,64.99,61,94,5.99,ES,overcast clouds
346,Petrinja,45.44,16.29,50.0,100,90,1.74,HR,fog
347,Ulaangom,49.98,92.07,25.09,94,83,3.06,MN,broken clouds
348,Mandalgovi,45.76,106.27,14.77,87,0,4.07,MN,clear sky
349,Rudbar,30.15,62.6,48.69,49,0,1.36,AF,clear sky
350,Mizque,-17.94,-65.34,67.03,49,55,7.56,BO,broken clouds
351,Laguna,38.42,-121.42,82.0,22,1,4.7,US,clear sky
352,Evensk,61.95,159.23,21.97,92,94,5.82,RU,overcast clouds
353,Thyolo,-16.07,35.14,64.26,97,55,3.83,MW,light rain
354,Berlevag,70.86,29.09,39.2,86,0,25.28,NO,clear sky
355,Charters Towers,-20.1,146.27,81.63,45,0,10.02,AU,clear sky
356,Bubaque,11.28,-15.83,83.44,78,0,15.3,GW,clear sky
357,San Patricio,28.02,-97.52,80.6,39,20,14.99,US,few clouds
358,Agde,43.31,3.48,48.2,100,76,1.12,FR,broken clouds
359,Long Branch,40.3,-73.99,55.99,100,90,5.82,US,mist
360,Rabo De Peixe,37.8,-25.58,62.6,82,75,23.04,PT,light intensity shower rain
361,Aden,12.78,45.04,81.21,62,0,14.23,YE,clear sky
362,Botwood,49.15,-55.35,34.0,75,11,10.31,CA,few clouds
363,Nueve De Julio,-35.44,-60.88,61.65,67,2,6.96,AR,clear sky
364,Bonavista,48.65,-53.11,37.99,74,4,8.05,CA,clear sky
